"year","state","stateabb","poverty","binge_all","binge_female","binge_male"
2010,"Alabama","AL","19",NA,NA,NA
2010,"Alaska","AK","9.9",NA,NA,NA
2010,"Arizona","AZ","17.4",NA,NA,NA
2010,"Arkansas","AR","18.8",NA,NA,NA
2010,"California","CA","15.8",NA,NA,NA
2010,"Colorado","CO","13.4",NA,NA,NA
2010,"Connecticut","CT","10.1",NA,NA,NA
2010,"Delaware","DE","11.8",NA,NA,NA
2010,"District of Columbia","DC","19.2",NA,NA,NA
2010,"Florida","FL","16.5",NA,NA,NA
2010,"Georgia","GA","17.9",NA,NA,NA
2010,"Hawaii","HI","10.7",NA,NA,NA
2010,"Idaho","ID","15.7",NA,NA,NA
2010,"Illinois","IL","13.8",NA,NA,NA
2010,"Indiana","IN","15.3",NA,NA,NA
2010,"Iowa","IA","12.6",NA,NA,NA
2010,"Kansas","KS","13.6",NA,NA,NA
2010,"Kentucky","KY","19",NA,NA,NA
2010,"Louisiana","LA","18.7",NA,NA,NA
2010,"Maine","ME","12.9",NA,NA,NA
2010,"Maryland","MD","9.9",NA,NA,NA
2010,"Massachusetts","MA","11.4",NA,NA,NA
2010,"Michigan","MI","16.8",NA,NA,NA
2010,"Minnesota","MN","11.6",NA,NA,NA
2010,"Mississippi","MS","22.4",NA,NA,NA
2010,"Missouri","MO","15.3",NA,NA,NA
2010,"Montana","MT","14.6",NA,NA,NA
2010,"Nebraska","NE","12.9",NA,NA,NA
2010,"Nevada","NV","14.9",NA,NA,NA
2010,"New Hampshire","NH","8.3",NA,NA,NA
2010,"New Jersey","NJ","10.3",NA,NA,NA
2010,"New Mexico","NM","20.4",NA,NA,NA
2010,"New York","NY","14.9",NA,NA,NA
2010,"North Carolina","NC","17.5",NA,NA,NA
2010,"North Dakota","ND","13",NA,NA,NA
2010,"Ohio","OH","15.8",NA,NA,NA
2010,"Oklahoma","OK","16.9",NA,NA,NA
2010,"Oregon","OR","15.8",NA,NA,NA
2010,"Pennsylvania","PA","13.4",NA,NA,NA
2010,"Puerto Rico","PR","45",NA,NA,NA
2010,"Rhode Island","RI","14",NA,NA,NA
2010,"South Carolina","SC","18.2",NA,NA,NA
2010,"South Dakota","SD","14.4",NA,NA,NA
2010,"Tennessee","TN","17.7",NA,NA,NA
2010,"Texas","TX","17.9",NA,NA,NA
2010,"United States","US","15.3",NA,NA,NA
2010,"Utah","UT","13.2",NA,NA,NA
2010,"Vermont","VT","12.7",NA,NA,NA
2010,"Virginia","VA","11.1",NA,NA,NA
2010,"Washington","WA","13.4",NA,NA,NA
2010,"West Virginia","WV","18.1",NA,NA,NA
2010,"Wisconsin","WI","13.2",NA,NA,NA
2010,"Wyoming","WY","11.2",NA,NA,NA
2011,"Alabama","AL","19","13.7","7.9","20.2"
2011,"Alaska","AK","10.5","20.8","15.6","26"
2011,"Arizona","AZ","19","17.6","11.7","23.6"
2011,"Arkansas","AR","19.5","14.1","9.2","19.2"
2011,"California","CA","16.6","18.6","12.1","25.2"
2011,"Colorado","CO","13.5","20.1","14","26.3"
2011,"Connecticut","CT","10.9","17.9","11.9","24.4"
2011,"Delaware","DE","11.9","20.3","13.9","27.2"
2011,"District of Columbia","DC","18.7","25","19.5","31.3"
2011,"Florida","FL","17","17.1","12","22.6"
2011,"Georgia","GA","19.1","16.6","11.1","22.5"
2011,"Hawaii","HI","12","21.5","12.3","30.8"
2011,"Idaho","ID","16.5","16.6","11.2","22"
2011,"Illinois","IL","15","23","16.1","30.2"
2011,"Indiana","IN","16","17.8","12.5","23.4"
2011,"Iowa","IA","12.8","23.1","15.8","30.8"
2011,"Kansas","KS","13.8","17","11.2","23.1"
2011,"Kentucky","KY","19.1","16.1","10.2","22.6"
2011,"Louisiana","LA","20.4","16.1","10.2","22.7"
2011,"Maine","ME","14.1","17.3","11.9","22.9"
2011,"Maryland","MD","10.1","18","13.4","23"
2011,"Massachusetts","MA","11.6","20.6","16.1","25.4"
2011,"Michigan","MI","17.5","19.7","12.7","27.3"
2011,"Minnesota","MN","11.9","22.1","15.5","29.1"
2011,"Mississippi","MS","22.6","14.2","7.8","21.6"
2011,"Missouri","MO","15.8","19.2","12.9","26.1"
2011,"Montana","MT","14.8","20.8","14.5","27.3"
2011,"Nebraska","NE","13.1","22.7","15.7","30.2"
2011,"Nevada","NV","15.9","18.6","13.2","23.9"
2011,"New Hampshire","NH","8.8","18.7","12.9","24.7"
2011,"New Jersey","NJ","10.4","18.2","12.7","24.1"
2011,"New Mexico","NM","21.5","16.4","10.1","23"
2011,"New York","NY","16","19.6","14.4","25.1"
2011,"North Carolina","NC","17.9","15.2","9.7","21.3"
2011,"North Dakota","ND","12.2","23.8","16.4","31.3"
2011,"Ohio","OH","16.4","20.1","14","26.6"
2011,"Oklahoma","OK","17.2","16.5","9.3","24.2"
2011,"Oregon","OR","17.5","16.4","11.7","21.4"
2011,"Pennsylvania","PA","13.8","18.3","13","24.1"
2011,"Puerto Rico","PR","45.6","15.3","7.8","24.1"
2011,"Rhode Island","RI","14.7","19.6","13.1","27"
2011,"South Carolina","SC","18.9","15.4","9.7","21.8"
2011,"South Dakota","SD","13.9","22.1","15.7","28.7"
2011,"Tennessee","TN","18.3","10","5.6","15.1"
2011,"Texas","TX","18.5","18.9","11.7","26.3"
2011,"United States","US","15.9","18.3","12.6","24.2"
2011,"Utah","UT","13.5","12","7","17"
2011,"Vermont","VT","11.5","18.5","12.6","24.6"
2011,"Virginia","VA","11.5","17.9","13.6","22.5"
2011,"Washington","WA","13.9","17.8","13.6","21.9"
2011,"West Virginia","WV","18.6","10.1","5.2","15.5"
2011,"Wisconsin","WI","13.1","24.3","17.4","31.3"
2011,"Wyoming","WY","11.3","18.9","11","26.7"
2012,"Alabama","AL","19","12.3","7","18.2"
2012,"Alaska","AK","10.1","16.8","12.7","20.5"
2012,"Arizona","AZ","18.7","15.3","9.7","21.1"
2012,"Arkansas","AR","19.8","11.8","7.7","16.3"
2012,"California","CA","17","16.9","10.9","23.2"
2012,"Colorado","CO","13.7","19.2","13.8","24.7"
2012,"Connecticut","CT","10.7","17.5","12.6","22.9"
2012,"Delaware","DE","12","18.6","14","23.6"
2012,"District of Columbia","DC","18.2","23.1","19.6","27.2"
2012,"Florida","FL","17.1","16.5","11.4","22.1"
2012,"Georgia","GA","19.2","14.4","9.8","19.4"
2012,"Hawaii","HI","11.6","18.2","11","25.7"
2012,"Idaho","ID","15.9","14.1","10.5","17.9"
2012,"Illinois","IL","14.7","21.6","14.6","29"
2012,"Indiana","IN","15.6","15.9","10.6","21.6"
2012,"Iowa","IA","12.7","21.7","15.2","28.5"
2012,"Kansas","KS","14","15.8","9.5","22.3"
2012,"Kentucky","KY","19.4","14.9","9.1","21"
2012,"Louisiana","LA","19.9","16.5","9.7","24.1"
2012,"Maine","ME","14.7","17.7","11.9","24"
2012,"Maryland","MD","10.3","16.4","11.7","21.7"
2012,"Massachusetts","MA","11.9","19.7","14.4","25.6"
2012,"Michigan","MI","17.4","19.2","14","24.7"
2012,"Minnesota","MN","11.4","21.9","15.5","28.5"
2012,"Mississippi","MS","24.2","12.1","7","17.9"
2012,"Missouri","MO","16.2","17.2","11.5","23.5"
2012,"Montana","MT","15.5","21.7","16.3","27.3"
2012,"Nebraska","NE","13","22.1","15.5","29.1"
2012,"Nevada","NV","16.4","15.1","9.4","20.7"
2012,"New Hampshire","NH","10","17","12.3","22"
2012,"New Jersey","NJ","10.8","17.7","12.1","23.8"
2012,"New Mexico","NM","20.8","14.6","9.2","20.3"
2012,"New York","NY","15.9","17","11.2","23.3"
2012,"North Carolina","NC","18","13.1","8.2","18.5"
2012,"North Dakota","ND","11.2","24.1","18.1","30"
2012,"Ohio","OH","16.3","18","13","23.5"
2012,"Oklahoma","OK","17.2","14.4","9.3","19.7"
2012,"Oregon","OR","17.2","15.3","10.7","20.2"
2012,"Pennsylvania","PA","13.7","17.9","12.6","23.6"
2012,"Puerto Rico","PR","44.9","14.1","7.6","21.8"
2012,"Rhode Island","RI","13.7","17.2","12.3","22.6"
2012,"South Carolina","SC","18.3","15.4","9.6","21.8"
2012,"South Dakota","SD","13.4","20.6","13.9","27.4"
2012,"Tennessee","TN","17.9","11.3","6.5","16.6"
2012,"Texas","TX","17.9","16.2","8.8","24.1"
2012,"United States","US","15.9","16.9","11.4","22.9"
2012,"Utah","UT","12.8","11.2","7.2","15.2"
2012,"Vermont","VT","11.8","19.3","14","25.1"
2012,"Virginia","VA","11.7","15.7","11.2","20.5"
2012,"Washington","WA","13.5","16.9","12.3","21.7"
2012,"West Virginia","WV","17.8","10.2","5.1","15.5"
2012,"Wisconsin","WI","13.2","25.2","20.2","30.5"
2012,"Wyoming","WY","12.6","17","10.8","23.2"
2013,"Alabama","AL","18.7","11.2","6.5","16.3"
2013,"Alaska","AK","9.3","19.5","14.8","23.8"
2013,"Arizona","AZ","18.6","13.4","9.1","18"
2013,"Arkansas","AR","19.7","12.5","8","17.5"
2013,"California","CA","16.8","17.4","11.9","23.3"
2013,"Colorado","CO","13","18.5","13.5","23.6"
2013,"Connecticut","CT","10.7","18.2","12.5","24.3"
2013,"Delaware","DE","12.4","17","12","22.4"
2013,"District of Columbia","DC","18.9","22.4","17.1","28.2"
2013,"Florida","FL","17","15.6","9.9","21.7"
2013,"Georgia","GA","19","13.1","9.2","17.3"
2013,"Hawaii","HI","10.8","18.3","11.2","25.4"
2013,"Idaho","ID","15.6","14.9","10.9","18.9"
2013,"Illinois","IL","14.7","21.8","15.5","28.4"
2013,"Indiana","IN","15.9","15","10.3","20.2"
2013,"Iowa","IA","12.7","21.7","15.1","28.5"
2013,"Kansas","KS","14","15.4","9.3","21.7"
2013,"Kentucky","KY","18.8","13.4","8.6","18.5"
2013,"Louisiana","LA","19.8","16.3","11.1","22"
2013,"Maine","ME","14","17.2","12.5","22.2"
2013,"Maryland","MD","10.1","14.2","10.1","18.9"
2013,"Massachusetts","MA","11.9","19.4","13.8","25.5"
2013,"Michigan","MI","17","18.9","13.9","24.1"
2013,"Minnesota","MN","11.2","21","15.1","27"
2013,"Mississippi","MS","24","12.4","8.7","16.5"
2013,"Missouri","MO","15.9","17.2","11.3","23.5"
2013,"Montana","MT","16.5","20.8","14.3","27.3"
2013,"Nebraska","NE","13.2","20","15","25.2"
2013,"Nevada","NV","15.8","15.2","9.2","21.1"
2013,"New Hampshire","NH","8.7","16.8","12.2","21.7"
2013,"New Jersey","NJ","11.4","16.3","11.6","21.5"
2013,"New Mexico","NM","21.9","14.5","9.1","20.1"
2013,"New York","NY","16","17.4","12.1","23.3"
2013,"North Carolina","NC","17.9","13","8.6","17.9"
2013,"North Dakota","ND","11.8","23.8","15.5","32.2"
2013,"Ohio","OH","16","17.1","12.1","22.5"
2013,"Oklahoma","OK","16.8","12.7","7.9","17.7"
2013,"Oregon","OR","16.7","16.5","12.4","20.8"
2013,"Pennsylvania","PA","13.7","17.2","10.7","24.2"
2013,"Puerto Rico","PR","45.4","15","7.5","23.6"
2013,"Rhode Island","RI","14.3","17.8","12.7","23.4"
2013,"South Carolina","SC","18.6","14.9","9.3","21.2"
2013,"South Dakota","SD","14.2","19.2","13.5","25"
2013,"Tennessee","TN","17.8","9.6","6.5","13.1"
2013,"Texas","TX","17.5","16.7","10.2","23.5"
2013,"United States","US","15.8","16.8","11.3","22.2"
2013,"Utah","UT","12.7","12.3","8.5","16.2"
2013,"Vermont","VT","12.3","17.1","12.1","22.5"
2013,"Virginia","VA","11.7","15.9","10.3","22"
2013,"Washington","WA","14.1","16.8","12.4","21.3"
2013,"West Virginia","WV","18.5","11.2","6.7","15.9"
2013,"Wisconsin","WI","13.5","22.5","16.4","28.8"
2013,"Wyoming","WY","10.9","16.6","10.7","22.3"
2014,"Alabama","AL","19.3","12","6.8","17.9"
2014,"Alaska","AK","11.2","20.2","14.8","25.3"
2014,"Arizona","AZ","18.2","14.9","9.1","21.1"
2014,"Arkansas","AR","18.9","13.3","8.9","17.9"
2014,"California","CA","16.4","15.6","11.1","20.3"
2014,"Colorado","CO","12","17.5","12.2","22.8"
2014,"Connecticut","CT","10.8","15.9","11.3","20.8"
2014,"Delaware","DE","12.5","15.7","10.8","21"
2014,"District of Columbia","DC","17.7","24.9","19.4","31.2"
2014,"Florida","FL","16.5","15","10.6","19.8"
2014,"Georgia","GA","18.3","14.2","9.2","19.6"
2014,"Hawaii","HI","11.4","19.7","11.4","28"
2014,"Idaho","ID","14.8","14.8","9.1","20.8"
2014,"Illinois","IL","14.4","20.2","13.3","27.5"
2014,"Indiana","IN","15.2","14.8","10","19.9"
2014,"Iowa","IA","12.2","21.4","15.1","27.9"
2014,"Kansas","KS","13.6","15.8","9.1","22.8"
2014,"Kentucky","KY","19.1","12.7","7.6","18.1"
2014,"Louisiana","LA","19.8","16","11.1","21.4"
2014,"Maine","ME","14.1","17","11.5","23"
2014,"Maryland","MD","10.1","15.4","11.5","19.8"
2014,"Massachusetts","MA","11.6","17.4","12.4","23"
2014,"Michigan","MI","16.2","18.9","14.3","24"
2014,"Minnesota","MN","11.5","19.5","14.8","24.6"
2014,"Mississippi","MS","21.5","12.8","7.6","18.5"
2014,"Missouri","MO","15.5","15.1","9.8","20.7"
2014,"Montana","MT","15.4","18.9","12.5","25.3"
2014,"Nebraska","NE","12.4","20.3","14.1","26.8"
2014,"Nevada","NV","15.2","16","10.4","21.6"
2014,"New Hampshire","NH","9.2","16.8","12.4","21.6"
2014,"New Jersey","NJ","11.1","15.8","11.6","20.5"
2014,"New Mexico","NM","21.3","13.7","7.4","20.5"
2014,"New York","NY","15.9","15","11.9","18.4"
2014,"North Carolina","NC","17.2","13.6","8.3","19.6"
2014,"North Dakota","ND","11.5","24","17.8","29.9"
2014,"Ohio","OH","15.8","18","12.5","24.1"
2014,"Oklahoma","OK","16.6","12.8","7.4","18.6"
2014,"Oregon","OR","16.6","16.6","12.6","20.8"
2014,"Pennsylvania","PA","13.6","16.7","10.6","23.2"
2014,"Puerto Rico","PR","46.2","13.2","8.5","18.8"
2014,"Rhode Island","RI","14.3","18.4","12.1","25.2"
2014,"South Carolina","SC","18","14.1","9","19.7"
2014,"South Dakota","SD","14.2","17.4","12.1","22.9"
2014,"Tennessee","TN","18.3","10.6","5.9","15.7"
2014,"Texas","TX","17.2","16.3","10.8","22.1"
2014,"United States","US","15.5","16","11.1","21.4"
2014,"Utah","UT","11.7","11.4","7.5","15.3"
2014,"Vermont","VT","12.2","17.9","12.7","23.5"
2014,"Virginia","VA","11.8","15.2","10.7","20"
2014,"Washington","WA","13.2","17.1","11.9","22.4"
2014,"West Virginia","WV","18.3","9.6","5","14.5"
2014,"Wisconsin","WI","13.2","22.1","15","29.3"
2014,"Wyoming","WY","11.2","17.2","10.3","23.8"
2015,"Alabama","AL","18.5","11.6","7.5","16.2"
2015,"Alaska","AK","10.3","20.3","16.4","23.9"
2015,"Arizona","AZ","17.4","14.2","8.3","20.3"
2015,"Arkansas","AR","19.1","14.1","8.8","19.8"
2015,"California","CA","15.3","16.5","11.7","21.4"
2015,"Colorado","CO","11.5","17.6","12.4","23"
2015,"Connecticut","CT","10.5","16.9","11.1","23.1"
2015,"Delaware","DE","12.4","14.9","12.4","17.8"
2015,"District of Columbia","DC","17.3","27.2","21.9","33.1"
2015,"Florida","FL","15.7","15.6","11","20.5"
2015,"Georgia","GA","17","15.3","10.2","20.8"
2015,"Hawaii","HI","10.6","18.9","11.7","26.1"
2015,"Idaho","ID","15.1","14.1","9.8","18.6"
2015,"Illinois","IL","13.6","20.2","14.4","26.4"
2015,"Indiana","IN","14.5","15.7","9.8","22"
2015,"Iowa","IA","12.2","19.8","13.3","26.6"
2015,"Kansas","KS","13","15.6","10.1","21.4"
2015,"Kentucky","KY","18.5","15.3","9.6","21.4"
2015,"Louisiana","LA","19.6","17.3","12.2","22.8"
2015,"Maine","ME","13.4","17.6","13","22.6"
2015,"Maryland","MD","9.7","14.2","10.8","17.9"
2015,"Massachusetts","MA","11.5","17.7","12.7","23.3"
2015,"Michigan","MI","15.8","18.5","12.9","24.5"
2015,"Minnesota","MN","10.2","19.5","14","25.2"
2015,"Mississippi","MS","22","11.9","6.2","18.1"
2015,"Missouri","MO","14.8","16.7","11.6","22"
2015,"Montana","MT","14.6","19.8","13.2","26.5"
2015,"Nebraska","NE","12.6","19.5","13.1","26"
2015,"Nevada","NV","14.7","14.2","8.4","20.2"
2015,"New Hampshire","NH","8.2","16.5","11.8","21.5"
2015,"New Jersey","NJ","10.8","16","11.6","20.9"
2015,"New Mexico","NM","20.4","12.9","8.6","17.4"
2015,"New York","NY","15.4","16.7","11.9","22"
2015,"North Carolina","NC","16.4","13.8","9.3","18.8"
2015,"North Dakota","ND","11","24.1","16.9","31"
2015,"Ohio","OH","14.8","18.2","12.9","24"
2015,"Oklahoma","OK","16.1","13.1","8.6","18"
2015,"Oregon","OR","15.4","16.6","13.1","20.3"
2015,"Pennsylvania","PA","13.2","17","11.7","22.6"
2015,"Puerto Rico","PR","46.1","12.7","6.4","20.1"
2015,"Rhode Island","RI","13.9","16","11.4","21"
2015,"South Carolina","SC","16.6","15.2","10.1","20.9"
2015,"South Dakota","SD","13.7","16.9","12","21.9"
2015,"Tennessee","TN","16.7","10.3","7","14"
2015,"Texas","TX","15.9","15.9","9.9","22.2"
2015,"United States","US","14.7","16.3","11.7","21.4"
2015,"Utah","UT","11.3","11.6","7.8","15.5"
2015,"Vermont","VT","10.2","17.2","12.2","22.5"
2015,"Virginia","VA","11.2","16.3","12.3","20.7"
2015,"Washington","WA","12.2","16.1","12.9","19.4"
2015,"West Virginia","WV","17.9","10.6","5","16.5"
2015,"Wisconsin","WI","12.1","22.9","17.1","28.9"
2015,"Wyoming","WY","11.1","16","10.5","21.3"
2016,"Alabama","AL","17.1","13","8.8","17.6"
2016,"Alaska","AK","9.9","18.2","15.1","21"
2016,"Arizona","AZ","16.4","15.6","10.1","21.3"
2016,"Arkansas","AR","17.2","15","9.8","20.6"
2016,"California","CA","14.3","16.3","11.2","21.5"
2016,"Colorado","CO","11","19","13.9","24.2"
2016,"Connecticut","CT","9.8","16.7","11.9","21.9"
2016,"Delaware","DE","11.7","17","13.7","20.6"
2016,"District of Columbia","DC","18.6","25.6","21.3","30.5"
2016,"Florida","FL","14.7","15.5","11.3","20.1"
2016,"Georgia","GA","16","13.3","9.7","17.4"
2016,"Hawaii","HI","9.3","18.6","12.8","24.3"
2016,"Idaho","ID","14.4","16.1","12","20.3"
2016,"Illinois","IL","13","19.9","14.5","25.6"
2016,"Indiana","IN","14.1","17.5","12.1","23.3"
2016,"Iowa","IA","11.8","21.2","15.4","27.1"
2016,"Kansas","KS","12.1","16","10.4","21.8"
2016,"Kentucky","KY","18.5","14.6","9.2","20.5"
2016,"Louisiana","LA","20.2","16.9","11.7","22.4"
2016,"Maine","ME","12.5","18.3","13.6","23.4"
2016,"Maryland","MD","9.7","15.3","11.4","19.5"
2016,"Massachusetts","MA","10.4","17.8","13.8","22.3"
2016,"Michigan","MI","15","19","14.4","24"
2016,"Minnesota","MN","9.9","21.3","16.2","26.5"
2016,"Mississippi","MS","20.8","12.3","7.1","18"
2016,"Missouri","MO","14","18.4","13.5","23.6"
2016,"Montana","MT","13.3","18.9","13","24.9"
2016,"Nebraska","NE","11.4","20","13.1","27.2"
2016,"Nevada","NV","13.8","15.8","11.7","20"
2016,"New Hampshire","NH","7.3","18","13.2","23.1"
2016,"New Jersey","NJ","10.4","16","12","20.3"
2016,"New Mexico","NM","19.8","15","9.5","20.8"
2016,"New York","NY","14.7","17.5","12.8","22.7"
2016,"North Carolina","NC","15.4","14.6","10.7","18.9"
2016,"North Dakota","ND","10.7","24.8","17.2","32.1"
2016,"Ohio","OH","14.6","17.9","12.8","23.5"
2016,"Oklahoma","OK","16.3","11.8","7.7","16.3"
2016,"Oregon","OR","13.3","16.3","11.9","20.8"
2016,"Pennsylvania","PA","12.9","19.4","13.8","25.3"
2016,"Puerto Rico","PR","43.5","12.5","7.7","18.1"
2016,"Rhode Island","RI","12.8","15.8","11.1","21"
2016,"South Carolina","SC","15.3","16.8","11.3","22.9"
2016,"South Dakota","SD","13.3","19.3","14.3","24.3"
2016,"Tennessee","TN","15.8","13.1","9.8","16.6"
2016,"Texas","TX","15.6","17.9","11.7","24.4"
2016,"United States","US","14","16.9","12","21.9"
2016,"Utah","UT","10.2","12.5","8.3","16.7"
2016,"Vermont","VT","11.9","18.4","13.8","23.3"
2016,"Virginia","VA","11","15.8","11.8","20.2"
2016,"Washington","WA","11.3","16.4","12.2","20.7"
2016,"West Virginia","WV","17.9","11.3","6.2","16.8"
2016,"Wisconsin","WI","11.8","24.6","19.5","29.7"
2016,"Wyoming","WY","11.3","18.4","12.5","24.2"
